,S.No.,Name,LTP,P/E,Market Cap,52_week_high,52_week_low,6Months returns in%,1Year returns in%,5Years returns in%,Volume
0,1.,Reliance Industr,1272.85,25.36,1722467.61,"1,609","1,217",-13.85401959172478,3.3094597350006807,77.72348429616106,28630222.0
1,2.,TCS,4473.90,33.61,1618696.17,"4,592","3,592",16.74951645560862,21.996043420648988,110.36322568913836,1967048.0
2,3.,HDFC Bank,1871.75,20.68,1430928.71,"1,880","1,363",17.211470435463607,13.429080526458407,48.86467859736077,9504501.0
3,4.,Bharti Airtel,1681.75,71.04,1007452.46,"1,779",960,17.81910965640808,67.3050118958441,306.1455291115783,12900707.0
4,5.,ICICI Bank,1344.90,20.04,949165.22,"1,362",970,21.63885449437675,30.111739239442866,149.40195167622855,13536684.0
5,6.,Infosys,1999.70,30.81,830324.82,"2,007","1,358",34.30720118087386,33.18458931056064,180.0700211725315,5362693.0
6,7.,St Bk of India,861.55,10.04,768900.64,912,601,2.663247767020259,38.14638885044865,159.6203019276791,9379370.0
7,8.,ITC,470.00,28.61,588008.16,529,399,9.010786652786825,2.1517047957302187,98.39595276873278,31753858.0
8,9.,Hind. Unilever,2390.10,54.64,561575.81,"3,035","2,170",-3.61527986062103,-5.017187398430383,21.033047102481326,2260902.0
9,10.,Larsen & Toubro,3887.00,39.70,534513.28,"3,964","3,175",5.401593050989164,13.221283662938458,198.31158864159633,2300361.0
10,11.,HCL Technologies,1968.80,31.75,534266.38,"1,975","1,235",37.577302096482164,39.17715840569231,256.5374873787545,2569918.0
11,12.,Bajaj Finance,7182.80,28.92,444612.78,"7,830","6,188",-2.162349970010962,-3.8987501406204492,77.81628418502166,1250436.0
12,13.,Sun Pharma.Inds.,1813.45,38.83,435107.40,"1,960","1,209",19.620709180202837,47.27928849656135,316.7413481805695,1391111.0
13,14.,M & M,3081.40,32.29,383180.97,"3,222","1,575",5.217503229948849,80.88109031275309,505.5615339261486,2467964.0
14,15.,Kotak Mah. Bank,1805.65,18.67,358992.86,"1,953","1,544",5.150831339229086,-2.599992006183816,5.968489460165439,3893531.0
15,16.,Axis Bank,1148.15,12.72,355330.48,"1,340",996,-2.785658782767668,2.4722276272327988,53.65005345119605,8731618.0
16,17.,Maruti Suzuki,11272.55,25.28,354411.87,"13,680","9,738",-12.24309755171348,8.879859290185882,57.87774753737685,263579.0
17,18.,UltraTech Cem.,12083.90,53.06,348859.85,"12,138","9,250",7.4812377748362735,21.284118991780282,197.5414069713758,408880.0
18,19.,NTPC,357.15,15.69,346316.43,448,293,-3.0669067542865,20.90385960591413,210.70030741914334,14269143.0
19,20.,Wipro,309.95,27.62,324337.53,314,208,29.82199464168848,42.70258589409234,154.94552332909822,7382211.0
20,21.,O N G C,254.25,7.68,319853.60,345,197,-7.679736516056025,29.752489900347918,102.42834640828936,11143128.0
21,22.,Titan Company,3508.85,96.06,311510.85,"3,887","3,056",-0.6005566742293859,-2.2985411519788688,201.0208917054709,1242351.0
22,23.,Power Grid Corpn,333.85,19.76,310500.66,366,223,3.8413704832085926,43.83886140641458,217.4704335698754,14973536.0
23,24.,Adani Enterp.,2527.55,51.68,291724.95,"3,744","2,025",-22.50938763460949,-12.663913678631966,1100.7363652390143,1940935.0
24,25.,Tata Motors,790.30,8.69,290919.30,"1,179",696,-20.44493976541709,9.80201289238885,351.7290663496118,14101869.0
25,26.,Adani Ports,1259.95,26.61,272166.71,"1,621",987,-11.93471767858383,17.237369351138387,242.05237689552186,2818291.0
26,27.,Bajaj Finserv,1679.70,31.55,268191.33,"2,030","1,419",5.525362096552536,-2.9608019553253464,80.84430137347995,1389802.0
27,28.,Coal India,410.30,7.03,252856.74,545,342,-15.740840433837805,18.037969099108995,113.03217798053815,9439175.0
28,29.,Bajaj Auto,9021.40,34.18,251929.46,"12,774","6,232",-9.439602573593998,42.409058644698035,180.13292336952887,243931.0
29,30.,Trent,7000.25,183.02,248850.11,"8,346","2,880",33.45121599540384,134.53388055951083,1268.7065857701748,526964.0
30,31.,JSW Steel,999.85,47.63,244508.71,"1,063",762,8.54366271356672,17.9903170615657,295.04146640636895,2444182.0
31,32.,Asian Paints,2407.65,49.15,230941.26,"3,423","2,354",-17.591394377512458,-25.720769747005438,39.05397038558414,1150861.0
32,33.,Bharat Electron,315.65,50.83,230733.17,340,164,1.9541303855614007,92.46950847346608,837.1102949936828,15557064.0
33,34.,Nestle India,2253.50,68.41,217272.82,"2,778","2,169",-11.36676499508358,-9.108512017721521,59.239377584742286,554661.0
34,35.,Tata Steel,148.95,61.01,185942.14,185,128,-18.673217629246487,12.840906778971354,253.80048063375082,39701388.0
35,36.,Grasim Inds,2692.70,37.86,177316.90,"2,878","2,015",8.963256894488115,28.495015695912304,254.2663786744424,412267.0
36,37.,Tech Mahindra,1796.40,53.72,175813.29,"1,808","1,163",30.985459795968247,42.041598305551645,132.30312333782197,1503188.0
37,38.,Hindalco Inds.,662.10,11.40,148788.87,773,496,-3.145114214138407,21.911251215140226,220.39680384292595,4198819.0
38,39.,SBI Life Insuran,1428.80,65.63,143172.19,"1,936","1,307",-2.7961068714398407,-2.792797050015152,47.367342253344596,3926561.0
39,40.,HDFC Life Insur.,632.55,80.41,136159.03,761,511,5.7157204984492065,-7.5962312361806035,6.831618624372047,2573194.0
40,41.,Eicher Motors,4825.90,31.00,132293.58,"5,105","3,562",-2.2127250339736926,18.103839009324922,122.89500183237956,404369.0
41,42.,B P C L,301.70,9.78,130892.71,376,211,-3.710204914096905,35.382546082089476,22.64228138497205,7726611.0
42,43.,Shriram Finance,3162.55,15.17,118922.39,"3,652","1,972",15.753167354220212,49.296604632459626,194.79086862777382,1200626.0
43,44.,Cipla,1447.30,25.38,116885.76,"1,702","1,192",-7.505988251917239,20.14278167902637,215.83198010433716,1318852.0
44,45.,Britannia Inds.,4850.10,54.36,116823.53,"6,473","4,641",-10.077587802858812,-1.9518220733946456,58.97277042522194,284721.0
45,46.,Apollo Hospitals,7259.45,88.23,104379.75,"7,545","5,285",16.94455314628576,31.609534687674472,429.674213759623,314999.0
46,47.,Dr Reddy's Labs,1246.35,19.48,103996.80,"1,421","1,094",2.4074545484817866,11.813355203711335,121.27042668153058,1258819.0
47,48.,Tata Consumer,929.70,67.31,91989.97,"1,254",900,-16.427699850436564,-2.183176362091533,188.5027190712277,1278151.0
48,49.,Hero Motocorp,4575.45,22.20,91508.78,"6,246","3,737",-21.170014104481517,17.813147692619108,98.20443553431998,552194.0
49,50.,IndusInd Bank,986.65,9.46,76864.36,"1,694",966,-34.32621955951008,-36.41489621309039,-33.93263638112126,5674567.0
