,Company,Stationary/Non-Stationary
0,RELIANCE.NS,Non-Stationary
1,TCS.NS,Non-Stationary
2,HDFCBANK.NS,Non-Stationary
3,BHARTIARTL.NS,Non-Stationary
4,ICICIBANK.NS,Non-Stationary
5,INFY.NS,Non-Stationary
6,SBIN.NS,Non-Stationary
7,ITC.NS,Stationary
8,HINDUNILVR.NS,Non-Stationary
9,LT.NS,Non-Stationary
10,HCLTECH.NS,Non-Stationary
11,BAJFINANCE.NS,Stationary
12,SUNPHARMA.NS,Non-Stationary
13,M&M.NS,Non-Stationary
14,KOTAKBANK.NS,Stationary
15,AXISBANK.NS,Stationary
16,MARUTI.NS,Non-Stationary
17,ULTRACEMCO.NS,Non-Stationary
18,NTPC.NS,Non-Stationary
19,WIPRO.NS,Non-Stationary
20,ONGC.NS,Non-Stationary
21,TITAN.NS,Non-Stationary
22,POWERGRID.NS,Non-Stationary
23,ADANIENT.NS,Non-Stationary
24,TATAMOTORS.NS,Non-Stationary
25,ADANIPORTS.NS,Non-Stationary
26,BAJAJFINSV.NS,Stationary
27,COALINDIA.NS,Non-Stationary
28,BAJAJ-AUTO.NS,Non-Stationary
29,TRENT.NS,Non-Stationary
30,JSWSTEEL.NS,Stationary
31,ASIANPAINT.NS,Stationary
32,BEL.NS,Non-Stationary
33,NESTLEIND.NS,Non-Stationary
34,TATASTEEL.NS,Non-Stationary
35,GRASIM.NS,Non-Stationary
36,TECHM.NS,Stationary
37,HINDALCO.NS,Non-Stationary
38,SBILIFE.NS,Non-Stationary
39,HDFCLIFE.NS,Stationary
40,EICHERMOT.NS,Stationary
41,BPCL.NS,Non-Stationary
42,SHRIRAMFIN.NS,Non-Stationary
43,CIPLA.NS,Non-Stationary
44,BRITANNIA.NS,Stationary
45,APOLLOHOSP.NS,Non-Stationary
46,DRREDDY.NS,Non-Stationary
47,TATACONSUM.NS,Non-Stationary
48,HEROMOTOCO.NS,Non-Stationary
49,INDUSINDBK.NS,Stationary
